time,open,high,low,close,CCI,daily_bias,daily_cci,daily_prev_cci
1340658000,1312.8,1323.8,1309.2,1321.4,-31.153882441741224,0,-31.153882441741224,-41.77849403030126
1340744400,1321.4,1334.4,1318,1331.5,9.927059174872229,0,9.927059174872229,-31.153882441741224
1340830800,1331.5,1333.5,1312.6,1326,-2.0925425086013383,0,-2.0925425086013383,9.927059174872229
1340917200,1326,1365.4,1321.9,1364.4,123.30256346285591,0,123.30256346285591,-2.0925425086013383
1341176400,1364.4,1367.8,1355.4,1362.6,156.59944225979825,0,156.59944225979825,123.30256346285591
1341262800,1362.6,1375,1360.8,1372,181.40516236069075,0,181.40516236069075,156.59944225979825
1341349200,1372,1375.6,1369.6,1374.2,187.57374387814033,0,187.57374387814033,181.40516236069075
1341435600,1374.2,1380.4,1362.8,1368.6,168.3587946423491,0,168.3587946423491,187.57374387814033
1341522000,1368.6,1369.2,1347.8,1357,115.75254236044026,0,115.75254236044026,168.3587946423491
1341781200,1357,1357,1346.2,1352.4,90.20821207565633,-1,90.20821207565633,115.75254236044026
1341867600,1352.4,1361.6,1335.6,1341.2,61.44234686948126,0,61.44234686948126,90.20821207565633
1341954000,1341.2,1347.4,1332.8,1342.8,46.50945631419651,0,46.50945631419651,61.44234686948126
1342040400,1342.8,1344.2,1324.8,1335.2,20.418664987268162,0,20.418664987268162,46.50945631419651
1342126800,1335.2,1358,1333.8,1356.8,75.95826011405177,0,75.95826011405177,20.418664987268162
1342386000,1356.8,1357,1347.8,1352,74.63726568020266,0,74.63726568020266,75.95826011405177
1342472400,1352,1365,1344,1362.4,91.43914645947757,0,91.43914645947757,74.63726568020266
1342558800,1362.4,1375,1357.2,1374.8,124.3401935532257,0,124.3401935532257,91.43914645947757
1342645200,1374.8,1380.4,1370.6,1375.9,132.12647304876603,0,132.12647304876603,124.3401935532257
1342731600,1375.9,1376.4,1361.6,1362.8,94.27844494199049,-1,94.27844494199049,132.12647304876603
1342990800,1362.8,1362.8,1336.2,1344.6,32.888413560556394,0,32.888413560556394,94.27844494199049
1343077200,1344.6,1350.6,1325.2,1326.2,-16.181697606405212,0,-16.181697606405212,32.888413560556394
1343163600,1326.2,1344,1325.6,1338.6,-3.6679355116561347,0,-3.6679355116561347,-16.181697606405212
1343250000,1338.6,1362.6,1331.8,1358.9,47.81287715799842,0,47.81287715799842,-3.6679355116561347
1343336400,1358.9,1388.8,1357,1386.6,139.3786547427473,0,139.3786547427473,47.81287715799842
1343595600,1386.6,1391.2,1379.6,1384.2,154.08003964812121,0,154.08003964812121,139.3786547427473
1343682000,1384.2,1390.4,1374.8,1376.6,128.1843533458375,0,128.1843533458375,154.08003964812121
1343768400,1376.6,1385,1371.6,1373.5,108.12872912844252,0,108.12872912844252,128.1843533458375
1343854800,1373.5,1386.5,1352.8,1365.2,71.58070860363287,-1,71.58070860363287,108.12872912844252
